classDuration,classInfo,classMapURL,className,classTrialURL,dance,fitness,other,latitude,longitude,city,county,state,address,img_path
14,NONE,https://www.club4fitness.com/locations/,CLUB4 FITNESS,https://www.club4fitness.com/,FALSE,FALSE,FALSE,32.9515277,-106.1844448,Otero County,New Mexico,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
7 days- unlimited classes,Yoga centered studio,https://goo.gl/maps/PwwhHPm2JJ7MnMrc7,Core Power Yoga,https://www.corepoweryoga.com/content/new-student-offers,FALSE,FALSE,TRUE,40.7526215,-73.9854212,Manhattan,New York County,City of New York,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
5 days,virtual only,https://www.google.com/maps?q=San+Francisco+fitness&rlz=1C1CHBD_enIN990IN990&um=1&ie=UTF-8&sa=X&ved=2ahUKEwjY7eW48uj6AhX1TWwGHYklAnoQ_AUoAnoECAEQBA,Fitness SF,https://www.fitnesssf.com/,FALSE,FALSE,FALSE,44.551077,-61.0096271,,,,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
7 days,This is a virtual through Zoom fitness training,https://www.yelp.com/map/gina-g-fitness-san-francisco,Gina G Fitness,https://www.yelp.com/biz/gina-g-fitness-san-francisco,FALSE,FALSE,FALSE,37.7849105,-123.0369494,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
3 years,The sub was really nice and welcoming,"https://www.google.com/maps/?q=351%20Shotwell%20St,%20San%20Francisco,%20CA,%2094110%20(37.7627698,-122.4159522)",Hip Hop,https://classpass.com/classes/odc-dance-san-francisco/hip-hop-beginning-wydu,FALSE,FALSE,FALSE,37.7627698,-122.4159522,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
3 days,SAT Exam Preparation,https://g.page/PrincetonReviewNewYork?share,The Princeton Review,http://www.princetonreview.com/,FALSE,FALSE,TRUE,40.7516188,-73.9770215,Manhattan,New York County,City of New York,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
7,This is a virtual reality class,https://www.studiosweatondemand.com/freetrial-workout/?gclid=CjwKCAiApvebBhAvEiwAe7mHSBmNadbaEvbQDesxR9rFmEcr3yi9xzUnNTWbpaDSTsDpRd0dajkgnRoC43wQAvD_BwE,Virtual workout,https://www.studiosweatondemand.com/freetrial-workout/?gclid=CjwKCAiApvebBhAvEiwAe7mHSBmNadbaEvbQDesxR9rFmEcr3yi9xzUnNTWbpaDSTsDpRd0dajkgnRoC43wQAvD_BwE,FALSE,FALSE,FALSE,33.0127761,-117.0803597,San Diego,San Diego County,California,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
3 TIMES WITHIN 1 WEEK,This free pass allows you and your family to visit the Y three times within one week. Try drop-in classes like group exercise and our state-of-the-art cardio and strength equipment.,https://goo.gl/maps/s1HUwcW2qkY9P5Uj6,Y PASS,https://www.seattleymca.org/membership/trial-pass,FALSE,FALSE,FALSE,47.6054738,-122.3349764,Seattle,King County,Washington,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
"1 session, 10/22/22, 9am-945","Morning yoga on Sunday at 10 am ( 75 min) This class will include asanas, pranayamas, and meditation.  Please come 10-15 min in advance!!! We are meeting next to the monument at 9.45 am; at 9.55 am we are leaving for the place for practice. This is an outdoor class.  The classes are $15 drop-in, please sign up 3 hours in advance.  You can sign up for the class by texting 917- 791-2666",https://goo.gl/maps/mptoJdvdQvqo1BZG9,Yoga,https://www.meetup.com/new-york-yoga-meetup-group/events/qxlrwsydcnbdc/,FALSE,FALSE,FALSE,40.70293,-74.01536,Manhattan,New York County,City of New York,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\Others.png
1 day,fun hiphop hustle,https://www.yelp.com/map/cy-danceworks-san-mateo-2,CY Dance works,https://www.yelp.com/biz/cy-danceworks-san-mateo-2,TRUE,FALSE,FALSE,37.5338685,-122.2978139,San Mateo,San Mateo County,California,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\dance.png
1 year ago,music and dance ake me healty active and fresh,https://www.pineapple.uk.com/map,dance and music class,https://www.pineapple.uk.com/,TRUE,FALSE,FALSE,51.5132023,-0.1277725,London,Greater London,England,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\dance.png
